mac,mac_vendor,mac_vendor_address,mac_vendor_address2,mac_vendor_country
"bc:3a:ea*","GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,WUSHA,CHANG'AN,DONGGUAN,GUANGDONG,CHINA","DONGGUAN  GUANGDONG  523860","CN"
"e8:bb:a8*","GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,WUSHA,CHANG'AN,DONGGUAN,GUANGDONG,CHINA","DONGGUAN  GUANGDONG  523860","CN"
"8c:0e:e3*","GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,WUSHA,CHANG'AN","DONGGUAN  GUANGDONG  523860","CN"
"7c:4c:a5*","BSkyB Ltd","130 Kings Road","Brentwood  Essex  CM14 4EQ","GB"
"00:12:f2*","Brocade Communications Systems, Inc.","130 Holger Way","San Jose  CA  95134","US"
"00:1b:ed*","Brocade Communications Systems, Inc.","130 Holger Way","San Jose  CA  95134","US"
"00:24:38*","Brocade Communications Systems, Inc.","130 Holger Way","San Jose  CA  95134","US"
"00:12:d2*","Texas Instruments","12500 TI Boulevard","Dallas    75243","US"
"08:00:28*","Texas Instruments","12500 TI Boulevard","Dallas    75243","US"
"b0:ad:aa*","Avaya Inc","211 Mount Airy Road","Basking Ridge  NJ  07920-2311","US"
"10:cd:ae*","Avaya Inc","211 Mount Airy Road","Basking Ridge  NJ  07920-2311","US"
"50:cd:22*","Avaya Inc","211 Mount Airy Road","Basking Ridge  NJ  07920-2311","US"
"fc:a8:41*","Avaya Inc","211 Mount Airy Road","Basking Ridge  NJ  07920","US"
"3c:b1:5b*","Avaya Inc","211 Mount Airy Road","Basking Ridge  NJ  07920","US"
"c8:f4:06*","Avaya Inc","211 Mount Airy Road","Basking Ridge  NJ  07920","US"
"2c:f4:c5*","Avaya Inc","211 Mount Airy Road","Basking Ridge  NJ  07920","US"
"70:38:ee*","Avaya Inc","211 Mount Airy Road","Basking Ridge  NJ  07920","US"
"00:6b:8e*","Shanghai Feixun Communication Co.,Ltd.","Building 90,No,4855,Guangfulin Road","shanghai  Shanghai  201616","CN"
"44:37:e6*","Hon Hai Precision Ind. Co.,Ltd.","66,Chung Shan Rd.Tu-Cheng","Taipei Hsien    236","TW"
"f4:b7:e2*","Hon Hai Precision Ind. Co.,Ltd.","NO.1925,Nanle Road ,Songjiang Export Processing Zone ","Shanghai     201613","CN"
"08:3e:8e*","Hon Hai Precision Ind. Co.,Ltd.","66,Chung Shan Rd.Tu-Cheng","Taipei Hsien    236","TW"
"48:5a:b6*","Hon Hai Precision Ind. Co.,Ltd.","NO.1925,Nanle Road","shanghai  Shanghai  201613","CN"
"00:21:e8*","Murata Manufacturing Co., Ltd.","2288, Oaza-Ohshinohara, Yasu-cho,","Yasu-gun  Shiga  520-2393","JP"
"00:60:57*","Murata Manufacturing Co., Ltd.","1-18-1 HAKUSAN MIDORI-KU","YOKOHAMA  226    12345","JP"
"00:07:d8*","Hitron Technologies. Inc","135-220 Hitron B/D 726-5","Seoul    13456","KR"
"90:21:06*","BSkyB Ltd","130 KINGS ROAD","BRENTWOOD  ESSEX  CM14 4EQ","GB"
"84:74:2a*","zte corporation","12/F.,zte R&D building,kejinan Road,","shenzhen  guangdong  518057","CN"
"68:1a:b2*","zte corporation","12/F.,zte R&D building,kejinan Road,","shenzhen  guangdong  518057","CN"
"00:1c:25*","Hon Hai Precision Ind. Co.,Ltd.","No.2, 2nd DONGHUAN Road,10Th YouSong","ShenZhen  GuangDong  518109","CN"
"00:16:cf*","Hon Hai Precision Ind. Co.,Ltd.","No.2, 2nd DONGHUAN Road, 10th YouSong","ShenZhen  GuangDong  518109","CN"
"6c:ec:eb*","Texas Instruments","12500 TI BLVD","Dallas    75243","US"
"84:eb:18*","Texas Instruments","12500 TI BLVD","Dallas    75243","US"
"d0:e5:4d*","Pace plc","Victoria Road","West Yorkshire  England  BD18 3LF","GB"
"fc:8e:7e*","Pace plc","Victoria Road,","West Yorkshire,  England  BD18 3LF","GB"
"b4:f2:e8*","Pace plc","Victoria Road","Saltaire  West Yorkshire  BD18 3LF","GB"
"70:85:c6*","Pace plc","2 rue Albert 1er","Saint-Cloud    92210","FR"
"00:e0:18*","ASUSTek COMPUTER INC.","150 LI-TE RD.","PEITOU, TAIPEI    77777","TW"
"00:0c:6e*","ASUSTek COMPUTER INC.","150, Li-Te Rd., PeiTou","Taipei    112","TW"
"00:1b:fc*","ASUSTek COMPUTER INC.","15,Li-Te Rd.,Peitou","Taipei    112","TW"
"00:1e:8c*","ASUSTek COMPUTER INC.","15,Li-Te Rd.,Peitou","Taipei    112","TW"
"00:15:f2*","ASUSTek COMPUTER INC.","No.5 Shing Yeh Street,Kwei Shan Hsiang,Taoyuan","Taipei    333","TW"
"00:23:54*","ASUSTek COMPUTER INC.","15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan","Taipei  Taiwan  112","TW"
"00:1f:c6*","ASUSTek COMPUTER INC.","15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan","Taipei  Taiwan  112","TW"
"60:18:2e*","ShenZhen Protruly Electronic Ltd co.","ShenNan Road 1004","Shen Zhen  GuangDong  518000","CN"
"f4:cf:e2*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"50:1c:bf*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"d4:f5:13*","Texas Instruments","12500 TI BLVD","Dallas    75243","US"
"a0:f6:fd*","Texas Instruments","12500 TI BLVD","Dallas    75243","US"
